,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KRT81,240.92703124144703,2.9981575235224778,0.30171893141074757,9.936922119881537,2.875754111897686e-23,2.764174852356056e-19
MAEL,31.473229826018276,-3.8535448956338043,0.38761326412668606,-9.941726076676071,2.740369735820627e-23,2.764174852356056e-19
C15orf6,39.208585865826194,3.532722154964793,0.38429758584940105,9.192673295504905,3.831974428219456e-20,2.4555292136030276e-16
CYP17A1,12.647177643987282,-3.0273071835068692,0.3667900932380786,-8.253514037910191,1.538037993358098e-16,7.391810596079019e-13
IGFBP1,40.88949215041802,3.294409246052096,0.4062593064432052,8.109129301909672,5.098377062524377e-16,1.9602240129993725e-12
PENK,50.430716089988586,-2.466418802302954,0.32213192544880315,-7.65654878468401,1.9099622216302903e-14,6.11951895810345e-11
NTS,242.06361308736047,3.469235790944363,0.4723580902617025,7.344503804353786,2.0652381949227454e-13,5.671734151313551e-10
CDH17,281.85220653432964,2.7201155064748828,0.37942382019144405,7.169068892676288,7.550955384230925e-13,1.8144945788306912e-09
RHOV,984.9426599667994,1.740834147538169,0.24547046979563825,7.091827171665362,1.323527407789202e-12,2.8270545430377356e-09
UPK1B,97.32407384609465,3.709545712275956,0.5267270595218325,7.042633647193888,1.886397486940721e-12,3.6264105288948426e-09
MGC4856,411.7726979637727,1.5687069423994946,0.23338825783907394,6.7214475866268755,1.7992795969712264e-11,3.144486452015896e-08
SERPIND1,274.4315023220082,-2.2540862479014376,0.3380458370262145,-6.6679899617478195,2.5933051644777456e-11,3.8348998832246294e-08
A2ML1,10.063930700086754,2.6052143774963015,0.3905686056843297,6.670311795623228,2.552605288228364e-11,3.8348998832246294e-08
CREG2,10.00259589791156,2.181550688246564,0.32924672168410724,6.625884312796994,3.451754323309726e-11,4.739751793664726e-08
MUC2,45.48156680735813,3.333674667113322,0.5040369969029511,6.613948356166399,3.7420233386953356e-11,4.795777110871942e-08
COL4A6,47.02683454002034,1.8876315341638068,0.28750971785307944,6.565452981065519,5.187492064509554e-11,6.232771715508229e-08
EKV,353.3640656796463,1.8010451275186004,0.27626344445623646,6.519303091523961,7.06347975723615e-11,7.987549109006337e-08
TM4SF4,276.7331079675111,2.701060605973907,0.4152427709364099,6.504774544016196,7.780998833614523e-11,8.310106754300311e-08
CD177,84.2770882615638,-2.028800386359149,0.31286810744284704,-6.484522832771502,8.901304435001095e-11,9.006246129392687e-08
KRT6A,2535.610981106907,2.7002618896109625,0.4180903975500991,6.458559932095533,1.0570400116657613e-10,1.0160268592131298e-07
KRTL1,262.414813120186,2.538340777656629,0.39357544615751466,6.449438862201652,1.1226503642708517e-10,1.027706219178231e-07
GDPD2,3.035673757459253,2.6414510802049174,0.41277234457113327,6.399292769842323,1.5609828005805766e-10,1.364015152652773e-07
DSG3,28.44444366217549,2.941148447267224,0.4604179109190384,6.387997463861493,1.680721260238662e-10,1.4047906742099147e-07
FAIM2,116.83542404452373,-1.7312467604358817,0.27367116438613165,-6.326010868990233,2.5158010312794937e-10,1.9345503610126796e-07
MAGEA8,11.21278754500028,3.7585418948922724,0.5940901259203225,6.326551697976472,2.5070033301055925e-10,1.9345503610126796e-07
AKAP12,1459.258017717599,1.3624749492733514,0.2179879159323608,6.250231548138256,4.0984461579759597e-10,3.0303280361896095e-07
ACSM5,11.45368952496973,-1.2983361734815662,0.2080544691612998,-6.240366663188553,4.365463788452079e-10,3.10821021737788e-07
RSPO3,331.4104696389907,1.851664765108026,0.30039673587748206,6.164064198963981,7.090117555706662e-10,4.867872138960888e-07
CRISP3,20.563825920442955,2.7162965288542384,0.4414622660227379,6.1529528974835035,7.605339878755071e-10,5.04155358031681e-07
MARCH4,24.288358190794455,1.7454458849560117,0.2864903460459451,6.092512048123571,1.1115247584040816e-09,7.122650651853354e-07
CLEC3B,299.6179071417029,-1.087318823876744,0.17978159931126064,-6.047998393841408,1.4665641843368816e-09,8.810384337403816e-07
LRRC66,23.23682695653867,1.6791400863337123,0.2774061915599818,6.053001473727534,1.4217156639550899e-09,8.810384337403816e-07
IL1A,41.58602687831586,1.7077815139094128,0.2836937770529336,6.019806044567424,1.746261894187196e-09,1.0172769289046864e-06
PNMA5,13.728602775317194,-2.339259990000033,0.389308354149144,-6.008758777120571,1.869490347452525e-09,1.0570318364537453e-06
GCSAML,10.333459411049683,-1.5531010875398457,0.2593180906901105,-5.989173695543776,2.109098232168778e-09,1.158437269006074e-06
TAF7L,6.134974798626641,-1.7912161323110818,0.3029956876388186,-5.911688533489208,3.3861838679365058e-09,1.808222185478094e-06
MYETS1,68.03578108168259,-4.122467430838693,0.6983647299307478,-5.903029254137004,3.5688695951446704e-09,1.8542688945151663e-06
ABAT,371.81116644642367,-0.9428131222003454,0.16065097622146815,-5.868704594117214,4.3921318031991305e-09,2.2219563627552654e-06
NTSR1,24.539002663092717,2.3324799482501586,0.3984723318471158,5.853555596791285,4.811733002460836e-09,2.289782020826254e-06
BIRC3,1665.503992089686,1.1184814842120807,0.1911577048689803,5.851092871086149,4.8835342724654815e-09,2.289782020826254e-06
TNFRSF6B,290.0492472069545,1.37102732330268,0.23411108160007094,5.856311089300715,4.732613532894493e-09,2.289782020826254e-06
TM4SF20,12.641273538706283,3.6931768677971,0.6341510503157107,5.823812585279895,5.752007721784543e-09,2.632776105799668e-06
KCNG1,12.776680381567095,1.5881427783259698,0.2737174892922053,5.802123870245494,6.548015816396322e-09,2.9274199082419278e-06
TMEM233,31.892607193921233,-1.4210457981139937,0.24685823385062702,-5.7565258243476825,8.58626521114494e-09,3.7514173277056895e-06
CDHR2,24.60326107697186,2.558258451858911,0.4480483219736925,5.709782464064493,1.131206677271787e-08,4.832514925305074e-06
MYBPC1,12.56234912282456,2.224772174295448,0.39144489766536594,5.683487478223146,1.319753914480884e-08,5.5154237504305466e-06
CIDEC,11.133606159935884,2.197167991076137,0.3872053068597293,5.674426337013229,1.3915417895770654e-08,5.573124867256147e-06
CDHR5,20.532280935820236,2.1415300278199902,0.37733921939285076,5.675344405667058,1.3840990024437463e-08,5.573124867256147e-06
ITGA6,1923.1016861665312,0.9194403241858328,0.16412937470210465,5.601924249419826,2.119851997782412e-08,8.3167417970141e-06
FLNC,848.1795845630686,1.4173921403535892,0.25381906266725845,5.5842619756724305,2.346947042440722e-08,9.023541988776088e-06
SLC6A17,34.12300081835847,1.619715368690458,0.29187409878430615,5.549363151567011,2.867120736305876e-08,1.080735863426356e-05
MYCN,90.86903086518623,-1.6741677459199915,0.3027791904269725,-5.529335564835606,3.214459455975669e-08,1.188360934263005e-05
AHNAK2,3229.907387359675,1.120280265223567,0.20314653147473832,5.514641363014736,3.4949189731772993e-08,1.267666459252083e-05
SPRR3,22.66303219215939,2.663126037849697,0.4844207690502654,5.497547190371106,3.8511027559762086e-08,1.3709925811275303e-05
HSD3B2,2.2798801450627946,-2.603070376858683,0.4772161808920466,-5.454698480660983,4.905601353730076e-08,1.7146414622564904e-05
BNC1,7.60427795676298,1.7338566606126689,0.3191001917857943,5.433580753773326,5.52342695151358e-08,1.8961135663553047e-05
KRT6C,121.65329462801448,2.2349181087299037,0.41501682349376584,5.385126535149907,7.239370138034811e-08,2.441572833922477e-05
PLCD3,423.7636509660217,0.87010594713424,0.16192888140473655,5.373383300039203,7.727282357870306e-08,2.5466353606130152e-05
LQT4,244.49724379584018,-0.9811335519102619,0.18266121419244802,-5.371329410284989,7.815828457977939e-08,2.5466353606130152e-05
PKP2,476.8434900642144,1.2315882613441689,0.2302917287097508,5.347948309929996,8.89568610010418e-08,2.850177826473379e-05
MAPK4,133.78027079222898,1.903043560924264,0.35638948029625733,5.339786009795556,9.305635519286586e-08,2.9326481511928742e-05
UCA1,115.24335627837874,2.167371418992261,0.40840927131340454,5.306861453027756,1.1152888271714714e-07,3.4329917727537366e-05
FBN2,66.04655936583572,1.391420120994341,0.262271156743559,5.305273131329614,1.1250441202844641e-07,3.4329917727537366e-05
MYO1E,1591.9218274707578,0.6217185011009886,0.11743861380296952,5.293987053900904,1.1967790912230855e-07,3.594825195261343e-05
ARNTL2,298.3452636684917,1.1041581055736776,0.20883279937101742,5.287282979011374,1.2414651218351515e-07,3.642009749386908e-05
MGAT5B,51.76382001687175,1.492238470335873,0.2823371498639438,5.285306843449301,1.2549422621424978e-07,3.642009749386908e-05
FGF12,77.0633948233359,1.5352903619501175,0.2905974291284345,5.283220731011937,1.269322998381829e-07,3.642009749386908e-05
GUCY2C,9.650236577683108,1.4764835381354218,0.2806825921709582,5.260331703207747,1.4379576382760952e-07,4.065190829149949e-05
CYP3A5,114.40557583068643,1.6451785505499685,0.31298774494972675,5.256367308612109,1.469286981555603e-07,4.093561294699263e-05
MAFK,2328.9778979519447,0.8878806734462519,0.16908272837877414,5.251161262652729,1.5114327964878295e-07,4.150826297097434e-05
FUT4,304.48334029654296,0.5774450351582859,0.11008465850284116,5.245463291720914,1.5589009703524333e-07,4.175458296274962e-05
FAM83A,3507.0615784136926,1.187044984759846,0.22632453349539775,5.244879847654627,1.5638420585299482e-07,4.175458296274962e-05
KYNU,1202.8859249562888,1.4388965454972507,0.2748415894063746,5.235366847517866,1.646574931069535e-07,4.3361310239562664e-05
GCKR,12.213707147476748,1.769932844890969,0.3387893652327931,5.224286906629406,1.7482752917430948e-07,4.5417357038471964e-05
ATP8A2,34.25933924338026,-1.2721197975323362,0.24412856212489664,-5.2108601568771675,1.8796710011705227e-07,4.817972710200284e-05
PGC,15823.41667448525,-2.387153634157126,0.45842945582110894,-5.207243129439429,1.9166689166522547e-07,4.848163586016177e-05
FKBP4,2874.912434000119,0.5917145019613443,0.11407554029606427,5.187040976756689,2.136617315818906e-07,5.2220104558275014e-05
LDLRAD3,143.70024785175923,0.8030094226548035,0.15483495465105795,5.186228293633673,2.1459572722137567e-07,5.2220104558275014e-05
SERPINB7,39.602426721123074,2.190012229768935,0.42192646796981725,5.190506867954059,2.0972238616724258e-07,5.2220104558275014e-05
KIR2DL1,2.8418259040421217,-1.9621636510741576,0.3817542479291811,-5.139860687124971,2.7494224027531697e-07,6.606862033815867e-05
AP1S3,473.95359131819026,0.5990466186703102,0.11724639151719897,5.109296848444462,3.2335996699525825e-07,7.67440988335413e-05
MUCL1,12.974916627389733,2.397165132709586,0.4707166164610757,5.092586598560859,3.5321129543901846e-07,8.280651150633769e-05
DFNB39,105.91535049366873,-0.9468762324512092,0.18778747900200327,-5.042275648426529,4.6002796098939985e-07,0.00010654912677180991
OLFM4,40.9650978579418,2.1027538135583734,0.41900616330936985,5.018431702652121,5.209500706252017e-07,0.00011922314473451045
FAM83B,50.198373503856224,1.643377719380707,0.32806678442477116,5.009277980586143,5.463461262568764e-07,0.00012356421095484932
DNER,212.5880502122873,1.5134529389275566,0.30241928616351105,5.004485521169004,5.601142153928436e-07,0.00012520506600827936
CAV3,1.4334052756872282,-2.0797339802942894,0.4171163690979454,-4.985980254843308,6.164844067142957e-07,0.0001362217958008692
LRRC37A3,89.60621606359935,0.6201122348030789,0.1250173000054671,4.96021138495201,7.04165111451482e-07,0.00015382806934708285
NEUROD1,15.549258701876653,-3.8522654761526507,0.777472870477227,-4.9548551755742425,7.238418232727981e-07,0.0001563498338269244
ANLN,1176.2963668877308,0.8501651956130296,0.17170637847422066,4.9512732326403945,7.372949917524075e-07,0.00015748621023831423
SLC2A1,5036.72912439039,0.9210745585868191,0.1861749868964439,4.94735933081681,7.522703064552934e-07,0.0001589191689153468
KRT18,20484.823566551622,0.6057306315873503,0.12377568557443351,4.89377722915612,9.89188053550609e-07,0.00020229948022826497
SLC38A4,59.51798968444273,-1.3869325085705468,0.28319676637385227,-4.8974164724029245,9.710488891924214e-07,0.00020229948022826497
SLC13A5,20.491884112629254,1.811209881449699,0.37007229344834747,4.894205574194107,9.870362266204202e-07,0.00020229948022826497
ANX14,45.224156064256626,2.4092122761224712,0.494118957603073,4.875773817319913,1.083827394157448e-06,0.0002193210297398187
SLC3A1,11.639731063902351,1.1794069640686644,0.24218447077949276,4.869870311141899,1.1167151767866848e-06,0.00022362221415153365
KIR3DL2,7.073233090595191,-1.6730082428267814,0.3436964040697804,-4.86769201835208,1.1290910655510102e-06,0.00022376955303250124
LAMA3,2581.3485013265813,1.2293322713896366,0.2530043180157095,4.8589379067961405,1.180171360384118e-06,0.00023150626767371718
CSNK1A1P1,2.2801905272525396,-2.0048488653224448,0.41344119678253516,-4.849175362601734,1.2397578542379e-06,0.00024073843424110496
SH2D5,13.140994475465739,1.4452755423849208,0.29862872538994556,4.8397070325291,1.300306701201098e-06,0.0002499709602388991
OPN3,1837.01637948454,0.9301913301364217,0.19234222498409578,4.836126493874845,1.3239368909484945e-06,0.0002519936910058798
