,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNK13,50.897885956182094,-3.2148500405365836,0.40830307976991603,-7.873685504278323,3.4434389065688313e-15,6.165477362211492e-11
CPS1,9071.934621829992,7.179434419247109,1.0605662378763319,6.769435196827633,1.2928610501735225e-11,1.157433855167846e-07
TDD,9003.489639401912,5.955762694596104,0.9708664597323813,6.1344818691520215,8.543718675464034e-10,5.09917609613945e-06
AKR1C1,9636.089394545257,5.007835825823002,0.8582152468046672,5.8351746190344755,5.373426178270624e-09,2.4052798930483882e-05
ABCC2,625.8717545119008,5.386782091438515,0.9686579952435785,5.561077405946519,2.6811423681447694e-08,9.60117082032642e-05
COL25A1,178.31324857496844,6.253519447408511,1.1508280278153824,5.433930436400277,5.512607881845928e-08,0.00016450540687408557
MIR9-1HG,82.93514906085318,4.92950493232433,0.9176082021078541,5.372123877054147,7.781461951652611e-08,0.00019903868034905714
PAEP,2689.334940427699,5.537296236189918,1.041520552670485,5.316550136233174,1.0575309328648106e-07,0.00023130101047689905
CRLF1,2626.2371841724785,4.4931868020374335,0.8478872578019182,5.299273884225682,1.1626412143491156e-07,0.00023130101047689905
BARX1,470.5664997234399,5.617817892961066,1.0659207736062606,5.270389725077472,1.3613439523461288e-07,0.00024374863466757437
FGA,11901.090007118444,5.286316855637795,1.010297971171142,5.232433407254963,1.6729293081763206e-07,0.00027230726602633655
FBN3,73.38724049296671,4.315661183878084,0.8396735619934577,5.139689254514971,2.7519319338455386e-07,0.00033808305391738963
ANKRD1,56.97341830289108,3.642419300186107,0.7094317868984946,5.13427699104109,2.832307069958584e-07,0.00033808305391738963
TMEM59L,480.8231406168617,4.2309814992119845,0.8201424037466466,5.158837635858899,2.484876771328937e-07,0.00033808305391738963
NTS,142.4991692073761,5.726289042999529,1.1079739633557162,5.168252352840802,2.3629312109433406e-07,0.00033808305391738963
PGC,8452.585270122023,4.777388627374666,0.9522804809093921,5.016787304946584,5.25426803644539e-07,0.000587985432453467
ADAM33,49.35168255741661,-2.5697461039326064,0.5134675983072816,-5.004689901376713,5.59520290903045e-07,0.0005893065181540601
LINC00473,154.55636740244643,6.478677923933897,1.2996222657344552,4.985046882274369,6.194679047986156e-07,0.0006161984908566229
MEG3,219.4770661626111,-3.186063291404239,0.6439673497334419,-4.9475540844160015,7.515182657354419e-07,0.0006727967273996543
KIF1A,431.89509314707834,5.127982936930774,1.0361593950583845,4.949029040692941,7.458461908785537e-07,0.0006727967273996543
INHA,365.65327270533174,4.673516787661339,0.9540729490633088,4.898489986797877,9.657595932904995e-07,0.0008234250246603044
CALCA,1645.3841080635482,7.233853926700277,1.4833851738731207,4.876585026000142,1.079381740076253e-06,0.0008784695480029685
APOBEC2,17.104219666111852,-3.046588652394776,0.630698653385017,-4.830498108793253,1.3619190814387871e-06,0.0010602243979635428
PPP2R2C,316.07647636709254,3.955208877139294,0.8266440063280758,4.784658023117104,1.7127869958762794e-06,0.0012778104650485326
FAM133A,85.14372258261342,5.943820376262192,1.2474669112869148,4.764711851258975,1.8912372057378216e-06,0.0013545040867494278
SMOC1,678.7182543625585,4.13177858674625,0.8739283574709982,4.727822997645852,2.269398798549483e-06,0.001562830211078019
B4GALNT2,81.32001843877318,5.061592508421193,1.0832357920567348,4.672659955973917,2.973237965795664e-06,0.0019716972510211614
AU,50.74737296720107,-2.329308054847231,0.5095697586790403,-4.571126946162397,4.851082802499859e-06,0.0029951254337503438
CDHR2,32.212750128221046,5.469108777295358,1.195942665343232,4.573052651922691,4.806692890128225e-06,0.0029951254337503438
FZD10,186.75363237431188,3.729390512646374,0.8196583466173756,4.549932942227804,5.366301435537706e-06,0.003202787573443421
KLK14,42.02212779084409,5.156157246939081,1.1357949288080598,4.539690322750534,5.6336908643140585e-06,0.0032494124382079505
GNG4,180.3045884992074,3.3291694519962727,0.7354384174479054,4.526782084010581,5.9888640302073364e-06,0.0032494124382079505
GALC,843.4215140169401,-1.0037415088427113,0.22168313152832028,-4.52782086721146,5.959506743485018e-06,0.0032494124382079505
KANK4,97.09390061193022,-2.5262133808756584,0.5626628036734593,-4.489746548701561,7.130796886074454e-06,0.0037552034777989145
GKN2,91.43046105349381,3.5837971005273435,0.8081910514500158,4.434343951343528,9.23530843424203e-06,0.004724519929002958
KLK8,95.8889403015648,6.320602380104723,1.4291137027598058,4.422742828578868,9.745571893433108e-06,0.004847068465331106
S100P,6548.87533069926,3.5058595839254347,0.7990888614179724,4.387321302044349,1.1475520689824818e-05,0.004892123760745556
PCSK2,259.4946494377483,5.301843571070526,1.2072946855664908,4.391507421059157,1.1256749283171079e-05,0.004892123760745556
RUNDC3A,36.22328491179194,2.9449322004113725,0.6671071112624949,4.414481798639669,1.0125223405779082e-05,0.004892123760745556
DFNB18,96.08787065031143,4.855918277153398,1.1034171068735092,4.40080024761666,1.078523771231987e-05,0.004892123760745556
DLGAP1,30.698249523410883,3.4706495263918034,0.7906957258117315,4.389361688820084,1.136838552949827e-05,0.004892123760745556
PSORS2,259.6833824029326,2.3290988851160153,0.5299423280386591,4.395004440834377,1.1077048921585074e-05,0.004892123760745556
PCSK1,275.22165647623973,4.364134849397537,0.9978487902715454,4.3735432582024,1.2224600761802449e-05,0.005090266898606346
CDCA6,440.36781267948214,1.963827154093092,0.45108289532337975,4.35358373029248,1.3392990839563946e-05,0.005450034113236192
FGF12,41.56020754884622,2.9698895825858926,0.6840218032893041,4.341805434131447,1.4131665162502683e-05,0.005622832549658012
TKTL1,16.064288890064613,5.710568569457004,1.3201193571868512,4.3257971624824245,1.519812276662977e-05,0.005915704089924045
UPK3BL1,319.10484804422555,2.1569840685267865,0.5007619265967858,4.307404285277449,1.651815352365412e-05,0.006211663904505183
DKFZp547D155,132.08678743040497,5.923110993244409,1.3756716373855256,4.305613950507351,1.6652324346062485e-05,0.006211663904505183
UCA1,41.75246131150824,3.5087010865754267,0.8225559952912499,4.265607577673869,1.9935892383529225e-05,0.00728473781892022
FGL1,1215.1102975295335,4.130465600406297,0.9761439243226449,4.2314104482824755,2.322304528370045e-05,0.008316172516093132
KIAA0319,193.49023865467143,3.049394010733353,0.7242447518425754,4.210446817840635,2.5486611676262676e-05,0.008947799648303592
AKR1B11,1625.1875907570297,4.840876627463887,1.1549203306282914,4.191524297464214,2.7708650644104742e-05,0.009360818675145197
CHRNA9,37.60246289239148,4.7029212742433515,1.1213862339099958,4.193846091587401,2.742641041778914e-05,0.009360818675145197
CABYR,340.3250347551225,2.720074255939156,0.6509771810449868,4.178447932034627,2.9350517012582443e-05,0.009731870502042382
MSMB,555.0098476931898,4.279641812155238,1.0327108414130297,4.144085295259923,3.411727504191586e-05,0.011106723811372789
WIF1,346.7979635651779,3.2706976451155474,0.792290563475234,4.128154235195287,3.656868061859679e-05,0.011692182615642418
CCDC17,69.50379907328589,2.5379542246020788,0.6221795480297193,4.079134765260477,4.520362792544813e-05,0.014199490491318398
MAGEA6,156.08458871089064,7.74648578296062,1.903667751274398,4.06924253340678,4.7166229133756465e-05,0.014560540217929473
INSL4,122.67849142903664,8.193645779481416,2.0228090823733664,4.050627343371326,5.108050179470238e-05,0.015501633637866883
IL12RB2,47.21891206288135,-2.2394532160382683,0.5538288434385745,-4.043583577435413,5.2640379425266946e-05,0.015708766560156746
NRG4,13.481392821405812,3.2842443363656946,0.8132650516313563,4.0383443623671225,5.3829790449290246e-05,0.01580036718023839
KHDC1L,11.04006259222812,5.167830960021056,1.2812856928866279,4.033316682385153,5.499508590725138e-05,0.01588204859950542
ODC1,6595.794011896242,2.0944181300998945,0.5204986809628189,4.023868276141715,5.724994609122105e-05,0.016270798170846236
SLCO1B3,91.60182495532764,4.925180559145754,1.2264590233359298,4.015772614848083,5.9251363013117774e-05,0.016576494605466778
MMP11,3135.9150375027275,-2.2980694738160454,0.5743385561256649,-4.001245344415341,6.300998314666058e-05,0.01709384467031754
FLNC,867.1822535509542,2.5057092977286697,0.6262320574018859,4.0012472502994605,6.300947555401604e-05,0.01709384467031754
ITGB3,299.49553657420483,-2.022364168003849,0.5069809031819813,-3.9890342127500595,6.634285356239905e-05,0.017729384970667984
NECAB2,10.924082103413326,3.4323584164559953,0.8631659495257481,3.976475692005513,6.994414482569528e-05,0.018149998740638752
HPD,7.502423736329382,3.5572925919233214,0.8940118806560948,3.97902160910066,6.919945187868128e-05,0.018149998740638752
ALOX15,77.42073977831264,3.156291043825846,0.7975340604800643,3.957562692590159,7.571841810404337e-05,0.019367689659327093
FGF19,24.842640548974767,4.630828844983447,1.174042936132289,3.944343688348425,8.001882760272117e-05,0.02017939589051722
TAF7L,7.702100560282363,-2.9280876072794806,0.743106420336562,-3.940334152883935,8.136818837070804e-05,0.02023468628857677
C9orf24,56.189584866433215,2.8375546963187457,0.7303471199776039,3.885213782188611,0.00010223988080208499,0.025076781722757967
TPTEP1,135.1234091650428,2.58139022268311,0.6675363378086366,3.867040753402581,0.0001101640237134577,0.025953774270913946
HSD17B5,4234.473020399303,2.6697879705272607,0.6896939040587645,3.8709751598729296,0.00010840083896683512,0.025953774270913946
DNAI1,32.718579359736154,3.154996017386944,0.81547849639478,3.868889285658839,0.00010933226994459843,0.025953774270913946
KRT81,171.66362109004837,2.901719152616408,0.7531910514155407,3.8525672167280036,0.00011688587600109355,0.027179761166228313
SFRP1,110.55593875623966,2.5073093814642675,0.6528512679423295,3.84055221240032,0.000122757858542554,0.028179223810313198
MYO16,27.202436527932786,2.4817391943215754,0.6509600622517976,3.812429269065688,0.00013760761502692252,0.030047126183622534
PTPRN2,330.9652601367405,1.8729949313298118,0.4905382734515939,3.8182442282246054,0.00013440483389446514,0.030047126183622534
MARC1,499.52099947215953,1.635582989400017,0.42810508062675523,3.8205175864894847,0.00013317190846348105,0.030047126183622534
OCA2,26.744834545759435,3.492648223189417,0.9159954063868332,3.8129538629088278,0.00013731575336661038,0.030047126183622534
TTC8,394.79208443389155,-0.7070556680734567,0.18582367673615668,-3.804981585190436,0.0001418147408859073,0.030592685970628555
SLC14A2,172.23060633133986,4.988914814650579,1.3135972589486478,3.7979028813165407,0.0001459254736692866,0.03110470959581639
PZP,18.54961321615153,3.3013286078355155,0.8715055412639693,3.7880752921519063,0.0001518188457429756,0.03198019332974092
LCN10,34.7796258909451,2.3906752544644303,0.6329595562862456,3.7769794779483297,0.000158741805716383,0.03234728565003183
NCCRP1,144.88280628304796,2.942442384292308,0.7808527828430675,3.76824216925877,0.00016440117253018133,0.03234728565003183
SCARA5,127.01882017454204,2.7989007084867144,0.7426644800510465,3.768728387675595,0.00016408131318602792,0.03234728565003183
ETNPPL,21.51574514906415,6.421441371639836,1.6977733457932143,3.7822724614867145,0.00015540312650830747,0.03234728565003183
ARTN,41.374562775630025,1.8741923992294998,0.49716729509159846,3.76974193140399,0.00016341643372768712,0.03234728565003183
CILP,375.5977706428598,-2.0470785368512496,0.5432222675303771,-3.7683995285351157,0.00016429758939744005,0.03234728565003183
MRX58,743.6986334109004,2.117431932400814,0.5627554000809348,3.762615040382176,0.0001681459206904288,0.032604736189740996
PLCXD3,70.81471582338837,2.313553183935839,0.6151711693391687,3.7608283665522104,0.00016935160377804594,0.032604736189740996
GPC1-AS1,31.119531673125014,2.2310792893893554,0.5951853829782009,3.7485451645761776,0.00017786331108130172,0.03387917643522029
FXYD4,40.11560012480088,3.9456019832700133,1.0599952647056405,3.722282650352879,0.0001974298365045394,0.037210328659092407
GSTA2,56.94673473348544,3.184708955181303,0.8607077152677849,3.7001050399443334,0.00021551024650178448,0.037256799219835095
CDH17,235.05564481658823,3.2551655521503298,0.8772283410680086,3.7107391539439187,0.0002066549603598163,0.037256799219835095
LINC00689,49.785386263754006,2.730838845253919,0.7382407710558686,3.6991168089350284,0.00021635101842997715,0.037256799219835095
NTNG1,28.71971190739692,2.5111139932774935,0.6763800723210983,3.712578321032188,0.00020515854388216266,0.037256799219835095
CELF3,30.97994463209972,4.361233072122459,1.1813355050481593,3.69178193111589,0.00022268836417533986,0.037256799219835095
