gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,9,107,0,10,0.7839122937656098,1.0,0.10573252464256368,-0.0
HNRNPCL1,0,116,0,10,1.0,1.0,-0.0,-0.0
PADI1,2,114,0,10,1.0,1.0,-0.0,-0.0
SH2D5,2,114,0,10,1.0,1.0,-0.0,-0.0
ARID1A,8,108,0,10,0.8553036354704221,1.0,0.0678796819970813,-0.0
ADGRB2,3,113,1,9,0.7314914426843505,1.0,0.13579075008098673,-0.0
C1orf94,4,112,0,10,1.0,1.0,-0.0,-0.0
SCMH1,0,116,0,10,1.0,1.0,-0.0,-0.0
COA7,1,115,0,10,1.0,1.0,-0.0,-0.0
SSBP3,0,116,0,10,1.0,1.0,-0.0,-0.0
C8A,5,111,1,9,0.9706063798879349,1.0,0.01295685835246719,-0.0
LRRC7,25,91,2,8,1.0,0.46457194338165186,-0.0,0.33294702183336794
ADGRL4,9,107,0,10,0.7839122937656098,1.0,0.10573252464256368,-0.0
ABCA4,6,110,0,10,1.0,1.0,-0.0,-0.0
AGL,5,111,0,10,1.0,1.0,-0.0,-0.0
COL11A1,22,94,0,10,0.27936250402592355,1.0,0.5538318852204888,-0.0
NTNG1,7,109,1,9,1.0,1.0,-0.0,-0.0
SYPL2,2,114,0,10,1.0,1.0,-0.0,-0.0
VANGL1,1,115,0,10,1.0,1.0,-0.0,-0.0
IGSF3,3,113,1,9,0.7314914426843505,1.0,0.13579075008098673,-0.0
RP5-998N21.4,0,116,0,10,1.0,1.0,-0.0,-0.0
HRNR,21,95,1,9,0.8308633286088858,0.6123483760907,0.08047040884227526,0.2130014295413348
FLG,34,82,4,6,0.7280965907589866,0.19410978797003442,0.13781100248504066,0.7119525647960858
LCE2D,2,114,0,10,1.0,1.0,-0.0,-0.0
LCE2A,2,114,1,9,0.5712691995093714,1.0,0.24315919068427153,-0.0
ASH1L,6,110,1,9,1.0,1.0,-0.0,-0.0
CD1E,4,112,1,9,0.8617165465138684,1.0,0.06463556773601595,-0.0
OR6Y1,4,112,0,10,1.0,1.0,-0.0,-0.0
ACKR1,5,111,0,10,1.0,1.0,-0.0,-0.0
TADA1,1,115,0,10,1.0,1.0,-0.0,-0.0
FASLG,4,112,0,10,1.0,1.0,-0.0,-0.0
TNR,29,87,1,9,0.4954388739541856,0.7215797250891103,0.3050099200726804,0.1417156780792307
PAPPA2,23,93,0,10,0.2581344361301846,1.0,0.5881540550310345,-0.0
LHX4,0,116,0,10,1.0,1.0,-0.0,-0.0
LAMC1,6,110,0,10,1.0,1.0,-0.0,-0.0
HMCN1,20,96,0,10,0.3267710694668658,1.0,0.48575640050887803,-0.0
BRINP3,16,100,2,8,0.9463631549373693,0.586946073319609,0.023942176578435125,0.23140179847226178
GLRX2,0,116,0,10,1.0,1.0,-0.0,-0.0
CRB1,16,100,1,9,1.0,0.6794382028120597,-0.0,0.16785003767790901
TNNT2,1,115,0,10,1.0,1.0,-0.0,-0.0
IKBKE,4,112,0,10,1.0,1.0,-0.0,-0.0
LAMB3,3,113,0,10,1.0,1.0,-0.0,-0.0
KCNK2,5,111,1,9,0.9706063798879349,0.7236736098317631,0.01295685835246719,0.14045726447967397
NUP133,3,113,0,10,1.0,1.0,-0.0,-0.0
AGT,1,115,0,10,1.0,1.0,-0.0,-0.0
MLK4,3,113,0,10,1.0,1.0,-0.0,-0.0
ACTN2,9,107,1,9,1.0,1.0,-0.0,-0.0
MAP1LC3C,3,113,0,10,1.0,1.0,-0.0,-0.0
OR2G3,8,108,0,10,0.8553036354704221,1.0,0.0678796819970813,-0.0
TRIM58,7,109,1,9,1.0,1.0,-0.0,-0.0
OR2T8,5,111,1,9,0.9706063798879349,1.0,0.01295685835246719,-0.0
