gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,20,240,0,22,0.35907321132452297,1.0,0.44481699422761795,-0.0
HNRNPCL1,4,256,0,22,1.0,1.0,-0.0,-0.0
PADI1,4,256,0,22,1.0,1.0,-0.0,-0.0
SH2D5,3,257,0,22,1.0,1.0,-0.0,-0.0
ARID1A,16,244,1,21,1.0,1.0,-0.0,-0.0
ADGRB2,9,251,1,21,1.0,1.0,-0.0,-0.0
C1orf94,9,251,0,22,0.7984696058588936,1.0,0.09774161084546562,-0.0
SCMH1,1,259,0,22,1.0,1.0,-0.0,-0.0
COA7,2,258,0,22,1.0,1.0,-0.0,-0.0
SSBP3,1,259,1,21,0.3627530371159481,1.0,0.4403889427849873,-0.0
C8A,10,250,1,21,1.0,1.0,-0.0,-0.0
LRRC7,45,215,5,17,0.7275361258727017,0.3068950547793665,0.13814543687451444,0.5130101096109809
ADGRL4,20,240,0,22,0.35907321132452297,1.0,0.44481699422761795,-0.0
ABCA4,10,250,2,20,0.5351078865689138,0.8230632737581215,0.2715586482256699,0.0845667767103056
AGL,10,250,0,22,0.736619943881955,1.0,0.13275652685956768,-0.0
COL11A1,46,214,0,22,0.06343418567550463,1.0,1.1976766309358247,-0.0
NTNG1,16,244,2,20,0.9306981250573003,0.699095931104224,0.03119116099644506,0.15546322555533684
SYPL2,6,254,0,22,1.0,1.0,-0.0,-0.0
VANGL1,4,256,0,22,1.0,1.0,-0.0,-0.0
IGSF3,11,249,1,21,1.0,1.0,-0.0,-0.0
RP5-998N21.4,2,258,0,22,1.0,1.0,-0.0,-0.0
HRNR,37,223,2,20,0.7271151879645052,0.46188551791132615,0.13839678372872938,0.3354656545315388
FLG,65,195,5,17,1.0,0.3436306901033621,-0.0,0.4639080557042215
LCE2D,6,254,0,22,1.0,1.0,-0.0,-0.0
LCE2A,5,255,1,21,0.960834432283691,1.0,0.017351442030147005,-0.0
ASH1L,13,247,1,21,1.0,1.0,-0.0,-0.0
CD1E,16,244,2,20,0.9306981250573003,0.8596837951986662,0.03119116099644506,0.06566125951523763
OR6Y1,11,249,0,22,0.6812632438718771,1.0,0.16668504187556904,-0.0
ACKR1,10,250,0,22,0.736619943881955,1.0,0.13275652685956768,-0.0
