gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,24,189,12,135,0.431674857616713,0.3631228676900742,0.364843245567279,0.43994640049803035
HNRNPCL1,4,209,2,145,1.0,1.0,-0.0,-0.0
PADI1,6,207,3,144,0.9043325991613175,0.6373518882339371,0.043671813534901585,0.1956207232016865
SH2D5,4,209,1,146,0.619687652509987,1.0,0.20782715723131512,-0.0
ARID1A,10,203,6,141,0.9861623257283867,0.2452781168067728,0.006051592801433728,0.6103411968975874
ADGRB2,8,205,7,140,0.8405228482013088,0.6190161801767022,0.07545047649829884,0.20829799900957516
C1orf94,7,206,8,139,0.4606213809666807,0.34957480612329817,0.33665590697027853,0.4564598745384909
SCMH1,2,211,0,147,0.6477958833965551,1.0,0.18856181616505285,-0.0
COA7,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
SSBP3,1,212,0,147,1.0,1.0,-0.0,-0.0
C8A,11,202,5,142,0.590812841390727,1.0,0.2285500738128226,-0.0
LRRC7,39,174,32,115,0.4990745022060934,0.15578742609762142,0.3018346177396966,0.8074675979907198
ADGRL4,12,201,9,138,1.0,0.2359113548488302,-0.0,0.6272511552165222
ABCA4,9,204,7,140,1.0,0.4496917979688909,-0.0,0.34708503355577575
AGL,11,202,9,138,0.8760032961337488,0.9417947345335128,0.05749425971090832,0.026043741977212796
COL11A1,44,169,23,124,0.2877813397579058,0.21872967245750385,0.5409373698952678,0.6600922973901913
NTNG1,22,191,9,138,0.22734954030051657,0.5396571585252481,0.643305919598969,0.26788205767054085
SYPL2,2,211,3,144,0.6745290717934915,0.6830913983096087,0.17099932776018953,0.16552118339626223
VANGL1,4,209,3,144,1.0,0.5637028616507731,-0.0,0.24894976046811187
IGSF3,7,206,9,138,0.30617287062007775,0.4496917979688909,0.5140332939185497,0.34708503355577575
RP5-998N21.4,3,210,2,145,1.0,1.0,-0.0,-0.0
HRNR,32,181,21,126,0.9658041913682361,0.2470425193304535,0.01511091419333779,0.6072282924027489
FLG,57,156,38,109,0.9434304054112845,0.18260510797363783,0.025290131175380533,0.7384870782051295
LCE2D,4,209,4,143,0.8652202879614997,1.0,0.06287330563790844,-0.0
LCE2A,2,211,4,143,0.37915055837743683,1.0,0.4211883000887042,-0.0
ASH1L,11,202,12,135,0.35527172274443275,1.0,0.4494393580743432,-0.0
CD1E,8,205,11,136,0.18857076812235463,0.45554509378932995,0.7245256298760091,0.34146862634291236
OR6Y1,11,202,6,141,0.8233261696608654,1.0,0.08442808019314386,-0.0
ACKR1,12,201,8,139,1.0,1.0,-0.0,-0.0
TADA1,3,210,0,147,0.39246129675530006,1.0,0.4062031655031425,-0.0
FASLG,5,208,5,142,0.7857225900669365,1.0,0.10473076040941089,-0.0
TNR,49,164,24,123,0.15687304237114266,0.16249718864439022,0.8044516807300427,0.7891541483268901
PAPPA2,46,167,21,126,0.10652370282629547,0.6578251170418212,0.9725537456401777,0.18188954832917129
LHX4,3,210,2,145,1.0,1.0,-0.0,-0.0
LAMC1,5,208,9,138,0.12265626104401099,0.5509849875850934,0.9113102781346116,0.25886023399354013
HMCN1,44,169,24,123,0.37085187916738804,0.0586084695269954,0.430799516005134,1.2320396194247116
BRINP3,36,177,19,128,0.3779387492938605,0.4574463044014371,0.42257857846729235,0.3396598766155705
GLRX2,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
CRB1,28,185,18,129,0.9274896239295185,0.5759231210705986,0.03269094025238851,0.23963548588785133
TNNT2,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
IKBKE,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
LAMB3,8,205,8,139,0.6149847695841297,0.38157390570502137,0.21113563961885065,0.4184213325942663
KCNK2,10,203,17,130,0.025822327561236928,0.596081653539099,1.588004614066404,0.22469424486964704
NUP133,5,208,4,143,1.0,1.0,-0.0,-0.0
AGT,2,211,3,144,0.6745290717934915,0.6830913983096087,0.17099932776018953,0.16552118339626223
MLK4,5,208,3,144,1.0,1.0,-0.0,-0.0
ACTN2,22,191,13,134,0.774471290463989,0.47796780460396593,0.11099467683849433,0.3206013560107796
MAP1LC3C,9,204,0,147,0.029213687554282,1.0,1.534413619904338,-0.0
OR2G3,12,201,10,137,0.8170939917097432,1.0,0.08772798296208334,-0.0
TRIM58,12,201,9,138,1.0,0.8609074289269363,-0.0,0.06504354455982282
OR2T8,3,210,8,139,0.06089914905187929,1.0,1.2153887757522668,-0.0
OR2L13,27,186,17,130,0.8785785177793679,0.15107021627498887,0.05621941992334838,0.8208211490455378
OR2M4,14,199,7,140,0.6228481463487892,0.3407450409601843,0.2056178237124284,0.4675704559607848
PREB,5,208,1,146,0.4262040056283708,1.0,0.3703824729368728,-0.0
FOSL2,1,212,0,147,1.0,1.0,-0.0,-0.0
ALK,12,201,11,136,0.6269984737563778,0.33655861260970366,0.20273351633035194,0.4729392912727093
LTBP1,29,184,15,132,0.4193749017923428,0.9834124381493948,0.3773975641883898,0.007264303077089593
CRIM1,6,207,4,143,1.0,1.0,-0.0,-0.0
ABCG8,8,205,5,142,1.0,1.0,-0.0,-0.0
LHCGR,8,205,1,146,0.1352303518506308,1.0,0.8689258219901413,-0.0
USP34,9,204,10,137,0.4035771277040552,0.1922879771115198,0.3940734549063655,0.7160478693619234
HZGJ,4,209,2,145,1.0,1.0,-0.0,-0.0
CTNNA2,33,180,17,130,0.36582122407617457,0.41662387481037133,0.4367311013971299,0.38025584624304076
IGKV2-26,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
COX5B,0,213,0,147,1.0,1.0,-0.0,-0.0
SCTR,1,212,1,146,1.0,1.0,-0.0,-0.0
CFC1,4,209,2,145,1.0,1.0,-0.0,-0.0
POTEE,13,200,9,138,1.0,0.5783248434560722,-0.0,0.23782815104045293
CCDC74A,3,210,4,143,0.6182827140704736,0.3864762307712327,0.20881289532345965,0.41287721109190795
LRP1B,81,132,43,104,0.10747468877463999,0.11370296080020938,0.9686938038397267,0.9442282262317809
KCNJ3,20,193,8,139,0.24023203110398592,0.4945246678838705,0.619369086840403,0.30581204004527573
LY75,8,205,7,140,0.8405228482013088,0.34957480612329817,0.07545047649829884,0.4564598745384909
ABCB11,16,197,7,140,0.4068705461709585,0.3739818745877945,0.3905437480882559,0.42714944581357484
LRP2,34,179,20,127,0.6416043606579025,0.40484108291412035,0.19273269303556861,0.3927154221129881
WIPF1,6,207,5,142,0.9958575899149998,1.0,0.0018027623153314758,-0.0
