,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KLK14,132.55585228164554,-6.404138440695334,0.7562124841424386,-8.468702348861335,2.481418687292626e-17,4.524122550671916e-13
PCSK1,849.7141305802564,-5.163456523911752,0.6419403000522589,-8.043515142282557,8.729741451661731e-16,7.958032307334834e-12
ALB,34.7166564098524,5.056750399649849,0.7314845336311521,6.912997017924228,4.745199270435209e-12,2.8838157699524906e-08
SYCE1,21.24021997510445,-5.7933836663298415,0.8505183018366799,-6.81159200668478,9.652453234764578e-12,4.399588184405695e-08
SLC51B,64.45560652233259,-4.083083789316673,0.6071190024991635,-6.725343421156215,1.751787800669614e-11,6.387719036361682e-08
TPTE,6.853813833855635,4.101768240745428,0.6139714978160097,6.6807144229594435,2.3778018995921988e-11,7.225347372227495e-08
DSCAM,13.196460058265712,-3.7970505855712435,0.5938078832367011,-6.394409189845127,1.61169297522521e-10,4.1977694749008607e-07
KCNK10,22.295957074743534,-4.093345252389042,0.6434233962004928,-6.361822210011062,1.993741432578876e-10,4.543736724847258e-07
AMDHD1,66.76065478953824,-2.8774356745699996,0.4808823056743974,-5.983658871653919,2.1818001954348e-09,3.977858116316727e-06
CGA,87.23892802180019,-6.621325814907712,1.1038555497869251,-5.998362572155217,1.9931709843664547e-09,3.977858116316727e-06
IDH3GL,23.39540436178678,4.34987595478977,0.7340639466035946,5.925745263632688,3.108841958126506e-09,5.152764234596587e-06
CDH17,391.1275058501279,-3.537083749418288,0.6007616690486197,-5.887665494737201,3.9168887652605316e-09,5.951059664019167e-06
EPGN,8.162386189816148,-5.235054155729452,0.8954329012495655,-5.846394686217135,5.023413496858233e-09,7.045144221132255e-06
MYO16,42.93797514605112,-2.4946905542256945,0.4306176217074485,-5.7932848737911815,6.90228817897407e-09,8.988751291361089e-06
MEGF10,43.962011104622306,2.782891691956222,0.4814328866647563,5.78043538162792,7.450755223624632e-09,9.056144615808286e-06
VTN,73.43098584249523,-2.7445541273414524,0.4869543469159554,-5.636163112052764,1.7388069354453883e-08,1.8648192968847246e-05
RET,325.90493975101674,-2.8627651119052597,0.5075351612924877,-5.640525682230468,1.6953177884770945e-08,1.8648192968847246e-05
NRG4,16.301330923291985,-2.90990403930868,0.5175329472070096,-5.622645002627704,1.880555988548264e-08,1.9047942657339972e-05
MAPK4,253.44379093150698,-3.3279652844408116,0.5968352789860459,-5.576019718697996,2.460840448051509e-08,2.361370686782901e-05
EIF4E1B,10.29004226206373,5.934465257316994,1.0735748347688132,5.527761144471069,3.2434322186933906e-08,2.8301969756159312e-05
MUCL1,24.58246612813602,-4.923740039349412,0.8908725940048214,-5.526873396357689,3.2598802373812285e-08,2.8301969756159312e-05
SCN3A,70.51715873390562,-2.732944231009046,0.5001274624349036,-5.464495426232997,4.642253497166873e-08,3.847162080015747e-05
NCCRP1,274.7221074034591,-2.7477090523178416,0.5131527151926278,-5.35456399424176,8.576296451399332e-08,6.798392908778808e-05
FAM196A,37.51375230983575,-2.4949026189572754,0.4728659299548056,-5.276131057265486,1.3193974601010736e-07,0.00010023022705234488
VSIG1,1390.7832592010975,2.9677487989366247,0.5657449281836006,5.24573646371869,1.556592715674015e-07,0.00011351919356867455
NEFL,27.20213070910166,-3.0338926101779813,0.5877927510389445,-5.161500554090654,2.4497816570329556e-07,0.0001717862275808648
TF,813.70605782636,-3.3033559354985265,0.6412970545521995,-5.151054276719189,2.590262049926795e-07,0.00017490984331209382
CUZD1,63.505802870573255,-2.1621485021047313,0.4210445254820159,-5.135201555297466,2.818418047549025e-07,0.00018351927801040651
NTSR1,12.852752473157695,-3.1069126850700135,0.6072748976396996,-5.116155298277069,3.118263501970194e-07,0.00019604200057903647
HPD,8.554390769163122,-2.509659865591123,0.4935865412408677,-5.084538689571808,3.6852064612591323e-07,0.00022396228067225502
TLL2,31.874955991789104,-2.0400080436807224,0.4053213784787687,-5.033063026029309,4.827043393267662e-07,0.00028389243595501937
COL4A6,58.929240043647134,-2.472090991978413,0.4921404996363584,-5.023140736852659,5.083326648115849e-07,0.0002896225357764005
TDRD1,48.3763541502031,-3.510963244242938,0.7011389670022878,-5.007514072786489,5.513752141584122e-07,0.00030462645165261126
VEZF1,1470.3494672895658,0.476392607354306,0.09550774020285598,4.987999991858884,6.100757138424e-07,0.0003271441298463128
KET,249.3057243241086,1.9978674455962662,0.4010346846091595,4.9817821806194855,6.300132861314916e-07,0.00032818292093569586
SUN3,8.875429247707897,-3.785755864644188,0.7630140597256696,-4.961580742044649,6.992179323885459e-07,0.00035411503731411025
TRIM31,212.78648974097746,-2.51106215971217,0.5100165971629553,-4.923491066134582,8.501375973710738e-07,0.00041891104527755184
HHATL,25.008573326807117,5.098232034131714,1.0378746951258584,4.912184542194156,9.006721980403222e-07,0.0004321330398597672
