gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,1,36,1,39,1.0,1.0,-0.0,-0.0
HNRNPCL1,1,36,1,39,1.0,1.0,-0.0,-0.0
PADI1,1,36,1,39,1.0,1.0,-0.0,-0.0
SH2D5,0,37,0,40,1.0,1.0,-0.0,-0.0
ARID1A,2,35,1,39,0.9450778922614836,1.0,0.02453239595077231,-0.0
ADGRB2,1,36,1,39,1.0,1.0,-0.0,-0.0
C1orf94,2,35,1,39,0.9450778922614836,1.0,0.02453239595077231,-0.0
SCMH1,0,37,0,40,1.0,1.0,-0.0,-0.0
COA7,0,37,0,40,1.0,1.0,-0.0,-0.0
SSBP3,0,37,0,40,1.0,1.0,-0.0,-0.0
C8A,1,36,1,39,1.0,1.0,-0.0,-0.0
LRRC7,9,28,3,37,0.08558307601043218,0.3257533179280575,1.0676121082429548,0.48711115212955014
ADGRL4,2,35,5,35,0.4931970620073777,1.0,0.3069795191764361,-0.0
ABCA4,2,35,3,37,1.0,1.0,-0.0,-0.0
AGL,0,37,1,39,1.0,1.0,-0.0,-0.0
COL11A1,13,24,6,34,0.07457980309217309,0.890065664202084,1.1273787676104794,0.05057795228917589
NTNG1,1,36,0,40,0.9686940020837611,1.0,0.013813389300018896,-0.0
SYPL2,0,37,0,40,1.0,1.0,-0.0,-0.0
VANGL1,1,36,0,40,0.9686940020837611,1.0,0.013813389300018896,-0.0
IGSF3,2,35,1,39,0.9450778922614836,1.0,0.02453239595077231,-0.0
RP5-998N21.4,2,35,0,40,0.43958823775086686,1.0,0.35695393669494124,-0.0
HRNR,4,33,5,35,1.0,0.37109336952269756,-0.0,0.43051680529937103
FLG,12,25,10,30,0.63918153335831,0.5317159321489418,0.19437578074731407,0.27432032644394383
LCE2D,1,36,0,40,0.9686940020837611,1.0,0.013813389300018896,-0.0
LCE2A,2,35,1,39,0.9450778922614836,1.0,0.02453239595077231,-0.0
ASH1L,3,34,3,37,1.0,1.0,-0.0,-0.0
CD1E,1,36,2,38,1.0,1.0,-0.0,-0.0
OR6Y1,0,37,3,37,0.26705074127527784,1.0,0.5734062121853291,-0.0
ACKR1,2,35,0,40,0.43958823775086686,1.0,0.35695393669494124,-0.0
TADA1,0,37,0,40,1.0,1.0,-0.0,-0.0
FASLG,1,36,1,39,1.0,1.0,-0.0,-0.0
TNR,8,29,9,31,1.0,0.2173059935547036,-0.0,0.6629282951620434
PAPPA2,7,30,8,32,1.0,0.20355125613582603,-0.0,0.6913262132002069
LHX4,0,37,0,40,1.0,1.0,-0.0,-0.0
LAMC1,2,35,2,38,1.0,1.0,-0.0,-0.0
HMCN1,4,33,6,34,0.8359448455317575,0.30743416592739536,0.07782237575643168,0.5122478699227725
