,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP8A2,34.72394737588891,2.648360798010585,0.40954932292056956,6.466524664537716,1.0028246553135334e-10,1.8311578206025121e-06
KL,84.63306989861486,2.4654002933848234,0.3876171310462623,6.360400756102229,2.0122803742881817e-10,1.8372119817251099e-06
GCSAML,9.762482603086893,2.5143351838147456,0.4080582833504175,6.161706026821605,7.196535955434292e-10,4.380291551541006e-06
ENO3,233.26867964639482,2.876219456907064,0.47137950219321406,6.101706679065838,1.049418278327514e-09,4.790594440565102e-06
GDF10,52.78391646895451,2.292860947698689,0.37900921993754216,6.049617864379487,1.4518980983979535e-09,5.302331855349327e-06
NEFL,56.63987860391729,-4.329510442884386,0.7245683014711602,-5.975296509789025,2.2967206196498612e-09,5.9911597878294945e-06
AVPR1A,27.372160376483123,2.4926092423669544,0.415827273471397,5.994338037421711,2.0431597801622553e-09,5.9911597878294945e-06
SERPINA5,91.8542866618271,-3.080848848341772,0.5526366506907658,-5.574818182056652,2.477885232116754e-08,5.655773042306491e-05
KCNB2,3.125640362215235,3.8490041969166033,0.6937984150921619,5.547726995607671,2.8940729668574968e-08,5.871752486090877e-05
C15orf6,58.27011679420978,-4.231619486907055,0.7667879727313386,-5.518630491599662,3.416517263287736e-08,6.238560522763406e-05
KRT20,36.44355825726383,-8.184048995055209,1.49605778555672,-5.470409682076365,4.48996473560303e-08,7.45334146110103e-05
HAVCR1,60.33608657834383,-3.4989444637142655,0.6445756182030693,-5.42829167734971,5.689600407364486e-08,8.657675286539627e-05
CHEK2,334.5743032990479,1.2300989533740756,0.23122311897047354,5.319965230341674,1.0378708522716878e-07,0.00014578093663446937
EPS8L3,95.76867856640305,-4.936425541588764,0.9339847498881483,-5.28533848350301,1.254725367804927e-07,0.00016365203725798546
TM4SF20,16.175428480477308,-6.43252793201624,1.223134533403821,-5.259051851079184,1.4480005980558697e-07,0.00016525306825312613
CDH17,383.25176545453024,-3.7052135468367493,0.703929990840669,-5.263610863364118,1.4125326443686344e-07,0.00016525306825312613
SLC8A3,7.547070217479065,1.6767180365500058,0.32011003078619327,5.23794281744927,1.6237635216937433e-07,0.00017441130533016322
PIK3C3,523.6438958013605,0.8512048190948819,0.16349192059169293,5.206402958716798,1.9253630788923565e-07,0.00019531738789208016
PEG10,3845.770106888763,2.598430460857338,0.5027565526449638,5.1683671693331386,2.361480329483288e-07,0.00022695068850718338
KIAA0319,231.5006362496572,-2.6664122604704024,0.522553574504519,-5.102658159019718,3.3491564221873435e-07,0.0002953716324942678
IFNE,7.105953292994043,-4.0112959008461,0.7865320516692254,-5.099977670754915,3.3969355325189613e-07,0.0002953716324942678
ARMC9,334.8391601194412,0.843106239938566,0.16697118435635672,5.049411628650692,4.431728873829435e-07,0.00035184073580924125
NIPSNAP1,2060.8740177065324,0.8025852680858013,0.1587590545317914,5.055366892003531,4.2956414708770814e-07,0.00035184073580924125
INHBE,13.274836611910171,2.181045799167198,0.43348676994446833,5.031401072393974,4.869083378645498e-07,0.0003704560937252783
SLC18A2,27.199606633472715,2.1393461221897954,0.4278237505470145,5.000531455896107,5.717249898554213e-07,0.000386655493139259
MIR31HG,61.702929493227415,-3.1668634153264263,0.632645211091158,-5.00574944662011,5.564509951517398e-07,0.000386655493139259
ABCB5,3.0014636656505997,2.6776409296837103,0.5347804813081938,5.0069907621414975,5.528757932131931e-07,0.000386655493139259
CLEC3B,243.0856606050726,1.5333032052242612,0.30814159431659816,4.97596959808314,6.492183714487395e-07,0.0004233831236662137
FRZB,333.66895707792526,1.5720106966062652,0.3175954308807267,4.949727054469608,7.431763157197695e-07,0.00046794481120837904
ENG,3577.761075913204,1.207354028837962,0.2454723130388323,4.918493714796119,8.721271695544399e-07,0.0005308347372021357
FAM83A-AS1,60.200500954751426,-1.973179084217633,0.4023162678485088,-4.9045470986538104,9.364315113314292e-07,0.0005343512311534968
ALB,16.59761837977511,-4.084106486337059,0.8325897941899099,-4.905304526715701,9.32824987327694e-07,0.0005343512311534968
NTSR1,32.15634519420457,-3.5997927983811606,0.7379576022467718,-4.878048261067166,1.0714071344083693e-06,0.0005928452810392977
BCRP3,21.12921798475063,1.6008747652402988,0.3309296098829994,4.837508392815892,1.314768350619538e-06,0.0007061079435974341
KIR2DL1,2.6330203413144115,3.5116714456993448,0.7321436611341925,4.7964240245681795,1.6152318028555206e-06,0.0008426895062897658
SHISA3,119.67496619667945,-2.4888541121778642,0.5214947418855583,-4.772539226721564,1.8191766223816677e-06,0.000922726809019146
PDXP,281.5614641453567,0.8685782520427511,0.18256087400840307,4.757745912208831,1.9576669695993375e-06,0.0009661351044563216
ERO1LB,579.7058101757018,1.7215960196120932,0.36315161418638214,4.740708707764437,2.1297194095532e-06,0.0010233862215379324
LRRC49,71.22213785829206,1.3007055097463,0.27644101421002343,4.7051828161725,2.536385628834929e-06,0.001149100207718689
