,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHGA,28.053181650664566,3.142478198120102,0.3607669116862857,8.710549932175393,3.0240407811334302e-18,5.952824277661157e-14
KRT81,115.96081197133967,-1.7485091875741172,0.2221729192217555,-7.870037418146778,3.5453519668272503e-15,3.4895126733497214e-11
MUC2,25.634224748178617,-3.0000921340294004,0.38943324971595883,-7.703739052116324,1.3214155456365364e-14,7.194425620845741e-11
SCN3A,37.782440701889605,1.6137076631894351,0.20982248111481863,7.6908234742796004,1.4619102099762745e-14,7.194425620845741e-11
REG4,58.28450019491814,3.1343622721277136,0.42961470772229954,7.295751788259882,2.9699599122543064e-13,1.1692732174545205e-09
IA1,19.73531597434439,2.0964033963917985,0.29260437338259115,7.164634527354357,7.799434525121911e-13,2.5588644771170804e-09
CD177,89.72229365689105,1.7269773090954794,0.2420835325308927,7.133807454974645,9.762987944735982e-13,2.7454916813161116e-09
NOV,129.37511214998443,-0.8152256666212496,0.11675455791602336,-6.982388363866763,2.902035552613975e-12,7.140821231650763e-09
SEZ6,2.8774190334067913,2.1302015235736915,0.31307468803569677,6.804132064904608,1.0166024997205194e-11,2.2235355785553805e-08
NEUROD1,16.150936289088257,3.7561740095031473,0.5534013734387144,6.78743167217513,1.1414728881986524e-11,2.2469893804190472e-08
ALB,114.0432123481989,2.4812069704915998,0.3682088941729833,6.7385851068712554,1.5993636839970576e-11,2.8621340108620072e-08
HSD3B2,1.633711967666097,-2.2652635308447304,0.3542835070747534,-6.3939288327265045,1.6167670075597151e-10,2.6521715453177495e-07
BSN,37.18551017368959,0.9081867037089608,0.14430928310505478,6.293335287708524,3.1071618756584607e-10,4.704960117102831e-07
ADGRB1,110.34351470158813,1.305189399402825,0.2100592294450873,6.213435148032958,5.183863268733895e-10,7.288882031787624e-07
SCG3,20.110545904952787,1.632955061259117,0.264174904953841,6.1813405839757625,6.355952349404791e-10,8.341128133202221e-07
UNC80,3.9041299254575352,1.2851968173438935,0.20846546415176664,6.165034686072734,7.046769192053354e-10,8.669728221598142e-07
SCGB3A1,6128.215881785243,1.6645360127775326,0.2771577029006538,6.005736067794514,1.9046581372665518e-09,2.2054820842407104e-06
NLGN4X,47.74224719681804,-0.9994123689867868,0.16953681212951308,-5.894957894001879,3.747769353982028e-09,4.098602207396456e-06
SEZ6L,5.889605426706353,1.5722424620031992,0.2792040712689026,5.631158796710259,1.7900281708210403e-08,1.8174230357587313e-05
KLK14,23.87259676643819,1.741847190994178,0.3096177068839057,5.625799662831626,1.8465054973418658e-08,1.8174230357587313e-05
SYCE1,6.442798967919624,2.1595499607984885,0.3849790813050243,5.609525466884906,2.0288214200735497e-08,1.9017785549594202e-05
SLC10A2,3.1392016328657166,2.138919410225205,0.38200530421057094,5.599187725011742,2.153584904935741e-08,1.92696903880273e-05
SERPIND1,316.80165175079554,1.449862428400012,0.26048038010592983,5.566109922791094,2.6048895789485737e-08,2.2157357068950794e-05
MYBPC1,19.61463798190117,-1.8819773344164816,0.3384996319372169,-5.559761833849027,2.701430376707234e-08,2.2157357068950794e-05
TMEM132B,8.655324061625349,1.0515711695421834,0.19087065925304667,5.509339013431413,3.6018363046872274e-08,2.8360859063107227e-05
NOTUM,176.3650376629288,1.2986514652494998,0.2376925220396886,5.463577289287452,4.6663395998986816e-08,3.53295750092329e-05
KCNC1,2.018403086031942,1.3540206037404656,0.24827275575561455,5.453762333364059,4.9315104296336484e-08,3.595436400271791e-05
KIF26A,99.42739889345982,0.8686446134735876,0.16081172277391254,5.401624946800845,6.603991497670037e-08,4.6428418797012386e-05
HMP19,7.805962847414741,1.745475810853842,0.32449127004023814,5.379114854576508,7.485294559065341e-08,5.037928603672036e-05
CALML3,18.355135365895066,1.7636771959388247,0.3281540376026864,5.374540593263103,7.677818547633279e-08,5.037928603672036e-05
TDRD9,43.69341915750268,1.2100135418019502,0.2254539863988668,5.36700885679275,8.00531271804733e-08,5.083373575960055e-05
CTCFL,15.789116107373806,-0.6829633312841399,0.12773984067467073,-5.346517794894693,8.966246962204617e-08,5.515642857843684e-05
MAPT,76.34887890042727,0.884168575083594,0.16592340666433872,5.328775444396809,9.88771554191536e-08,5.89817213462436e-05
HHATL,8.167103983089357,1.9048174760331271,0.35871622215867915,5.310095720149856,1.0956767403955562e-07,6.343646069025448e-05
RSPO3,86.19777441843308,-0.9182945428459406,0.17334057116975946,-5.2976319199191835,1.1731414640179602e-07,6.598082776912442e-05
GABRP,147.9094362217904,-1.4004799443058984,0.26631286107674335,-5.258776983745904,1.4501663058532797e-07,7.929589925200503e-05
SRRM4,2.321014807830709,1.5797573798762095,0.3025742863414609,5.221056286631783,1.7790545333975596e-07,9.465050943224583e-05
REG1A,36.70329771330887,3.1914031226993647,0.6139084661686373,5.19849993699664,2.0090319316845e-07,0.0001040731409873931
TNNC2,126.48127580664065,1.3535441506986288,0.2607527773473677,5.19090981299683,2.0926897787576366e-07,0.0001056271751149848
CDH16,11.92057087256752,1.9907919029267813,0.3854252206483387,5.165183273626965,2.402034457208507e-07,0.00011821012072537366
TAC4,11.64964079000593,1.5613892966232208,0.3037431389181014,5.140492398230664,2.7401941089736337e-07,0.00013156273423206336
MYT1,15.12598049812287,1.3264078003470972,0.2584444717261643,5.132273836185968,2.862626042287042e-07,0.00013416855629147718
CKM,33.44722461054224,1.1793604463665428,0.23006166823273733,5.126279642436853,2.955235710701978e-07,0.00013528794177946146
PENK,39.452020397267624,1.20193031251761,0.23503312055655218,5.113876332286577,3.156140278795846e-07,0.00013806360308465829
NTS,87.7731800328239,-1.7734057328579922,0.34672058463779726,-5.114797942298655,3.140769781894011e-07,0.00013806360308465829
CCL20,842.1224895975105,-1.0976895240759166,0.2150453878403978,-5.104455087828244,3.3174904853965864e-07,0.00014196695696746042
UPK2,8.033524338941143,-1.1515080569222007,0.2277143996977573,-5.056808258285748,4.263314977844616e-07,0.00017856033050823672
CYP11A1,24.299140517847622,-1.0320476488321455,0.2045810763082429,-5.044687746569268,4.5426259705319975e-07,0.00018629498381233828
GC,3.8578988164301586,3.8495134011174867,0.7673637892471387,5.016542942291098,5.260952179499821e-07,0.00021135070133357955
CHAD,52.34023555095885,0.9050927792839005,0.18076448246381227,5.007027746532527,5.52769612304013e-07,0.0002133582317294999
AKAP12,920.2232225031491,-0.7591834008326898,0.15153136117860624,-5.010074448799145,5.440898316902238e-07,0.0002133582317294999
EDN3,3.7100423049450244,1.701425270959443,0.34030945854219774,4.99964143884784,5.743702597398307e-07,0.00021743228005728017
NPHS1,8.122721035990702,1.321984826065981,0.2648302621276525,4.991819346645372,5.981318700464873e-07,0.00022215520494085102
RELN,51.42332663376639,-0.9348194004714053,0.18926959902860335,-4.939089031039426,7.848837342424358e-07,0.00028611919089930276
CREB3L3,3.4943182383227964,1.4002521026475718,0.28517576266820205,4.910137136292137,9.10127223805403e-07,0.00032574280728380655
CRMP1,172.2877065670962,0.5605421766927323,0.11483495582142084,4.881285255723251,1.0539665373663962e-06,0.0003704880587153127
IL1R2,81.43131685048853,-0.8321566297633815,0.17077505544282412,-4.872823068952183,1.10014743133707e-06,0.0003799368804538636
LAIR2,10.14386406649854,-1.0004602051919549,0.2057915889139879,-4.861521359894376,1.1648700822040961e-06,0.0003953528891066833
PCSK1,329.3082957224105,-1.5949582405327543,0.3306975393132638,-4.823012121120984,1.4140637405527581e-06,0.0004717939785217126
PRSS3,77.45936374118745,-1.3370854394851515,0.27766907999397145,-4.815391902887356,1.4691127555221825e-06,0.00048199140987423603
