,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CPS1,5975.023568054986,6.90747179750192,0.7588848783258842,9.102133926742546,8.85741235034761e-20,1.6000915410902958e-15
ALB,307.26369919244036,-6.703364342535938,0.7548779854497141,-8.880063363541392,6.682228721209393e-19,6.035723092432384e-15
COL25A1,154.61607611202385,5.689966861204414,0.7611667536189927,7.475322370756837,7.701482240963425e-14,4.6375758894334757e-10
ABCC2,423.46852673645304,4.782664477907342,0.6701564180296644,7.13663907296287,9.564053709651852e-13,4.3193657566215176e-09
NTS,239.89289810818832,5.553148774554083,0.8392327896044259,6.61693494741974,3.667227733619167e-11,1.324969380156605e-07
PCSK2,567.1524619481409,5.574980443615286,0.8513198746359936,6.548631847693007,5.8066578960240034e-11,1.748287914861227e-07
TDD,8674.478249052841,4.403477063724159,0.6897446849391176,6.384213115194712,1.7228102727424814e-10,4.446081082441847e-07
AKR1C1,9843.053004991112,3.774644076106801,0.613844450777697,6.149186607982848,7.788130636154571e-10,1.758657249276654e-06
FZD10,140.32631499946027,3.4273115220496475,0.5664247938199892,6.0507794846615655,1.441466491616828e-09,2.6040092171057998e-06
INHA,228.18989772830378,4.04790436422885,0.6689525596869339,6.051108267114258,1.4385272406808913e-09,2.6040092171057998e-06
LINC00473,116.4948769256372,5.814916327940766,0.9670357040103204,6.013135092971405,1.8196926756606557e-09,2.9420855831805676e-06
SLC14A2,143.6910811822599,5.349975935370821,0.8914312057682146,6.001557832789056,1.954333074905442e-09,2.9420855831805676e-06
RHOXF1,2.291619941895446,-2.911364345558055,0.4921787727388788,-5.915257842911186,3.3135608385853904e-09,4.6045751191573135e-06
MSMB,856.3385658624278,4.3482333198847956,0.7435547318674005,5.847899466612801,4.978192562909395e-09,6.423646332068445e-06
AKR1B11,1184.3274983656027,4.549059745976839,0.7967340385677393,5.709633987967332,1.1321939332846112e-08,1.3635388936524333e-05
PCSK1,178.59621823509528,3.805361867494695,0.6756899165972351,5.631816864544086,1.783209837300274e-08,2.0133553569268406e-05
MIR9-1HG,51.56032918001846,3.463779513680916,0.6179205539622481,5.605541831341211,2.0760447271328303e-08,2.206102823273799e-05
S100P,5834.766933492267,3.108806841428066,0.5581909206561845,5.569432834510262,2.5556988311259678e-08,2.5649277435717003e-05
FGA,6203.78006861441,3.8717217605811887,0.7061122658510587,5.4831532432235885,4.178107931395301e-08,3.972501041087164e-05
FGF12,44.277462769898676,2.6281239513766823,0.48635280649148854,5.403739664495338,6.526565088835727e-08,5.8951199164908705e-05
BARX1,392.4075495283325,3.9374782608264036,0.739593343755671,5.32384220878977,1.015980458287221e-07,8.331381393266715e-05
SLC16A14,826.7440349235674,2.288363551246464,0.4293220779310844,5.330179063406556,9.811597779302475e-08,8.331381393266715e-05
MAGEA2,135.04563469178396,7.7345277826143075,1.4559690695367096,5.312288526208486,1.0825702062723105e-07,8.331381393266715e-05
MUC6,262.941654691575,3.8024489817604823,0.7163287484057139,5.308245676616141,1.1068538800907897e-07,8.331381393266715e-05
DKFZp547D155,143.30783229630092,5.038351118882618,0.9533040717278649,5.285145913360676,1.2560460084763995e-07,8.727104285817752e-05
ZFP42,29.565341809572075,5.083578479462532,0.9610603716540838,5.289551655025761,1.2261655073681204e-07,8.727104285817752e-05
FXYD4,43.765994462554445,4.333205323085917,0.8226570569714471,5.2673289390336,1.384230451359691e-07,9.261527075486228e-05
INSL4,56.43155399742194,7.0497680682336314,1.3525223691079433,5.212311625487798,1.8650191201733896e-07,0.00011794965906490956
CDHR2,29.28397839392803,4.194142281634369,0.8070134836168552,5.197115496555466,2.0240461837875429e-07,0.00011794965906490956
PGC,23189.024328650008,3.88440071308656,0.7472101281853063,5.198538625968997,2.0086138998672837e-07,0.00011794965906490956
ODC1,6815.436174604525,1.9622617247422942,0.37674652277547865,5.208440174275212,1.9043473094397232e-07,0.00011794965906490956
CALCA,1271.7243233105228,5.288522607545828,1.0219892199324698,5.17473423828803,2.2823561369985113e-07,0.0001288461362964941
ETNPPL,18.283995794446664,6.1859717376344525,1.2006483139960864,5.152192915713881,2.574579846585093e-07,0.0001409387422077567
TFF1,323.7792506051266,4.22468477686313,0.8252458467178907,5.119304500186517,3.066644797017172e-07,0.00016293805370033888
FAR2P1,49.9006877329175,3.349052826981128,0.6579145725495381,5.0904068198443175,3.572961173646832e-07,0.00018441583886265718
OPCML,9.556079424931864,-2.0799320330981836,0.41220074373594107,-5.045920136501753,4.513439209027533e-07,0.00022648688697522883
