gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,2,77,2,18,0.37907317823194175,1.0,0.42127694350275596,-0.0
HNRNPCL1,0,79,2,18,0.051185048394519234,1.0,1.2908568817595856,-0.0
PADI1,2,77,0,20,1.0,1.0,-0.0,-0.0
SH2D5,1,78,0,20,1.0,1.0,-0.0,-0.0
ARID1A,5,74,1,19,1.0,1.0,-0.0,-0.0
ADGRB2,4,75,1,19,1.0,1.0,-0.0,-0.0
C1orf94,1,78,1,19,0.8644354685832345,1.0,0.06326742192072699,-0.0
SCMH1,0,79,0,20,1.0,1.0,-0.0,-0.0
COA7,1,78,0,20,1.0,1.0,-0.0,-0.0
SSBP3,0,79,0,20,1.0,1.0,-0.0,-0.0
C8A,3,76,1,19,1.0,1.0,-0.0,-0.0
LRRC7,11,68,3,17,1.0,0.38207848035359027,-0.0,0.41784742220919624
ADGRL4,6,73,2,18,1.0,1.0,-0.0,-0.0
ABCA4,4,75,2,18,0.7626468300629968,1.0,0.11767653054214251,-0.0
AGL,4,75,1,19,1.0,0.4142161782425252,-0.0,0.3827729426607157
COL11A1,18,61,6,14,0.7035366750627172,0.2372971259911183,0.1527132580555322,0.6247075216804983
NTNG1,1,78,2,18,0.19176437911467722,1.0,0.7172320613501597,-0.0
SYPL2,1,78,0,20,1.0,1.0,-0.0,-0.0
VANGL1,0,79,1,19,0.45570974540945675,1.0,0.3413116838768541,-0.0
IGSF3,2,77,1,19,1.0,1.0,-0.0,-0.0
RP5-998N21.4,1,78,1,19,0.8644354685832345,1.0,0.06326742192072699,-0.0
HRNR,16,63,2,18,0.4608175280663588,0.8596837951986662,0.33647101005853947,0.06566125951523763
FLG,19,60,7,13,0.4779579960695508,0.5286601711149519,0.32061026840203255,0.27682340780288894
LCE2D,2,77,0,20,1.0,1.0,-0.0,-0.0
LCE2A,2,77,0,20,1.0,1.0,-0.0,-0.0
ASH1L,4,75,2,18,0.7626468300629968,1.0,0.11767653054214251,-0.0
