gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
PTCHD2,10,128,7,86,1.0,0.28205887576155886,-0.0,0.5496602294481859
HNRNPCL1,2,136,4,89,0.36036336813710723,1.0,0.4432593625999806,-0.0
PADI1,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
SH2D5,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
ARID1A,8,130,3,90,0.5585579333781574,1.0,0.2529317753834534,-0.0
ADGRB2,6,132,5,88,0.9641082405680219,0.4652088184521418,0.015874205057233498,0.33235206142251184
C1orf94,6,132,4,89,1.0,0.5402913746074198,-0.0,0.2673719656281234
SCMH1,1,137,0,93,1.0,1.0,-0.0,-0.0
COA7,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
SSBP3,1,137,0,93,1.0,1.0,-0.0,-0.0
C8A,6,132,3,90,0.9318316511759669,1.0,0.03066254211959213,-0.0
LRRC7,23,115,15,78,1.0,0.7586573112777241,-0.0,0.11995435246962335
ADGRL4,10,128,7,86,1.0,0.28205887576155886,-0.0,0.5496602294481859
ABCA4,6,132,6,87,0.6859667749961202,1.0,0.16369691896567914,-0.0
AGL,7,131,4,89,1.0,0.7781596861761658,-0.0,0.10893127227905704
COL11A1,30,108,18,75,0.7850893129998147,0.9640687072458238,0.10508093441831705,0.015892013696325258
NTNG1,6,132,4,89,1.0,1.0,-0.0,-0.0
SYPL2,3,135,1,92,0.9096079781954267,1.0,0.04114573909532821,-0.0
VANGL1,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
IGSF3,5,133,5,88,0.7546644269464793,1.0,0.12224612111627552,-0.0
RP5-998N21.4,2,136,2,91,1.0,1.0,-0.0,-0.0
HRNR,27,111,9,84,0.06474275190065135,0.703123135944989,1.188808844787206,0.15296861156837047
FLG,30,108,26,67,0.354995978401795,0.5294982411997127,0.44977656685420686,0.2761354781221773
LCE2D,3,135,2,91,1.0,1.0,-0.0,-0.0
LCE2A,6,132,2,91,0.5969016724391754,1.0,0.22409720427118773,-0.0
ASH1L,9,129,8,85,0.7361307298821309,1.0,0.13304505220495405,-0.0
CD1E,11,127,4,89,0.40208699663737535,1.0,0.3956799716122066,-0.0
OR6Y1,6,132,3,90,0.9318316511759669,1.0,0.03066254211959213,-0.0
ACKR1,6,132,7,86,0.46103624450444824,1.0,0.33626493107557626,-0.0
TADA1,1,137,0,93,1.0,1.0,-0.0,-0.0
FASLG,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
TNR,28,110,20,73,0.9537692785008384,0.5061507629601936,0.020556670571096225,0.29572010416930783
PAPPA2,30,108,18,75,0.7850893129998147,0.7747691464217297,0.10508093441831705,0.11082768248776248
LHX4,1,137,1,92,1.0,1.0,-0.0,-0.0
LAMC1,6,132,5,88,0.9641082405680219,1.0,0.015874205057233498,-0.0
